author,published_at,like_count,text,public,video_id,text_clean,text_normalized,text_final,label
@rozak-u2z,2026-04-13T09:53:47Z,0,"mbg gak ada manfaat nya mbg program maling, koruptor, program gagal, cepat 5 th, trus ganti persiden yg bisa melepaskan rakyat dari kemiskinan dan memberantas koruptor yg menjamur di pemerintah han Indonesia",True,lmcwEO9Lqe8,mbg gak ada manfaat nya mbg program maling koruptor program gagal cepat th trus ganti persiden yg bisa melepaskan rakyat dari kemiskinan dan memberantas koruptor yg menjamur di pemerintah han indonesia,makan bergizi gratis tidak ada manfaat nya makan bergizi gratis program maling koruptor program gagal cepat th trus ganti persiden yang bisa melepaskan rakyat dari kemiskinan dan memberantas koruptor yang menjamur di pemerintah han indonesia,makan bergizi gratis manfaat makan bergizi gratis program maling koruptor program gagal cepat th trus ganti persiden melepaskan rakyat kemiskinan memberantas koruptor menjamur pemerintah han indonesia,Negatif
@gRacieBerry89,2026-04-13T03:52:39Z,0,"Percuma mau 300jt rakyat teriaak stop MBG tiap hari, kalo DPR nya diem aja ga ada yg mewakili suara rakyat. Sudah busuk dari dalem pemerintahannya. Masa pemerintahan ga ada oposisi sama sekali? Dan rakyat jg diem aja ga punya daya ga bs protes turun ke jalan. Tinggal tunggu kehancuran kah?",True,lmcwEO9Lqe8,percuma mau jt rakyat teriaak stop mbg tiap hari kalo dpr nya diem aja ga ada yg mewakili suara rakyat sudah busuk dari dalem pemerintahannya masa pemerintahan ga ada oposisi sama sekali dan rakyat jg diem aja ga punya daya ga bs protes turun ke jalan tinggal tunggu kehancuran kah,percuma mau jt rakyat teriaak stop makan bergizi gratis tiap hari kalo dpr nya diem saja tidak ada yang mewakili suara rakyat sudah busuk dari dalem pemerintahannya masa pemerintahan tidak ada oposisi sama sekali dan rakyat juga diem saja tidak punya daya tidak bisa protes turun ke jalan tinggal tunggu kehancuran kah,jt rakyat teriaak stop makan bergizi gratis kalo dpr diem mewakili suara rakyat busuk dalem pemerintahannya pemerintahan oposisi rakyat diem daya protes turun jalan tinggal tunggu kehancuran kah,Netral
@zani-vv1vm,2026-04-13T03:45:56Z,0,Di tempatku tinggal aja. Gak ada MBG MBG an.,True,lmcwEO9Lqe8,di tempatku tinggal aja gak ada mbg mbg an,di tempatku tinggal saja tidak ada makan bergizi gratis makan bergizi gratis an,tempatku tinggal makan bergizi gratis makan bergizi gratis an,Netral
@RikoArdiansyah-y1r,2026-04-13T01:47:00Z,0,"Anggaran negara abis di korup sama pejabat ,Bawak Bawak nama MBG untuk menghilangkan dalangnya,",True,lmcwEO9Lqe8,anggaran negara abis di korup sama pejabat bawak bawak nama mbg untuk menghilangkan dalangnya,anggaran negara abis di korup sama pejabat bawak bawak nama makan bergizi gratis untuk menghilangkan dalangnya,anggaran negara abis korup pejabat bawak bawak nama makan bergizi gratis menghilangkan dalangnya,Netral
@muhammadsyaiful13,2026-04-12T22:55:57Z,0,"Harus lebih banyak belajar nya dri pada makannya, makan bergizi nggk salah, di luar negeri makan bergizi itu ada tpi dapur nya itu di skolah di kelola di skolah, klo dapur nya di luar kemungkinan besar di korup yaa ada",True,lmcwEO9Lqe8,harus lebih banyak belajar nya dri pada makannya makan bergizi nggk salah di luar negeri makan bergizi itu ada tpi dapur nya itu di skolah di kelola di skolah klo dapur nya di luar kemungkinan besar di korup yaa ada,harus lebih banyak belajar nya dri pada makannya makan bergizi nggk salah di luar negeri makan bergizi itu ada tapi dapur nya itu di skolah di kelola di skolah klo dapur nya di luar kemungkinan besar di korup yaa ada,belajar dri makannya makan bergizi nggk salah negeri makan bergizi dapur skolah kelola skolah klo dapur korup,Negatif
@AdiYTWord,2026-04-12T14:31:56Z,0,"makanya kalau tujuannya meningkatkan ekonomi rakyat dan juga untuk meningkatkan gizi anak. cukup 
1. gunakan kantin sekolah. buat menu tetap ke kantin (pesanana). nominal pembelian adalah nominal normal harga beli disetiap daerah. kantin akan belanja di pasar. 
mekanisme pengawasan dari pihak MBG dan sekolah secara langsung, bukan sistem tender, melainkan sistem belanja sekolah secara nyata di lingkungan sekolah. dampaknya jelas ke seluruh jaringan masyarakat. dan untuk pengawasan tidak tercentral melainkan terjadi dari berbagai pihak. dan keikut sertaan sekolah dalam peran menjaga kualitas akan sangat penting mengingat merekalah yang mengetahui anak secara langsung jadi misalkan ada anak yang alergi makanan tertentu akan disesuaikan menunya dengan kebutuhan anak. hal ini akan semakin padu karena data hadir tidak hanya dari pusat, tapi bahkan dari tenaga pendidik dilapangan. 
kalau tujuannya bukan sebatas memelihara kantong suara untuk masa depan pemimpinnya.",True,lmcwEO9Lqe8,makanya kalau tujuannya meningkatkan ekonomi rakyat dan juga untuk meningkatkan gizi anak cukup gunakan kantin sekolah buat menu tetap ke kantin pesanana nominal pembelian adalah nominal normal harga beli disetiap daerah kantin akan belanja di pasar mekanisme pengawasan dari pihak mbg dan sekolah secara langsung bukan sistem tender melainkan sistem belanja sekolah secara nyata di lingkungan sekolah dampaknya jelas ke seluruh jaringan masyarakat dan untuk pengawasan tidak tercentral melainkan terjadi dari berbagai pihak dan keikut sertaan sekolah dalam peran menjaga kualitas akan sangat penting mengingat merekalah yang mengetahui anak secara langsung jadi misalkan ada anak yang alergi makanan tertentu akan disesuaikan menunya dengan kebutuhan anak hal ini akan semakin padu karena data hadir tidak hanya dari pusat tapi bahkan dari tenaga pendidik dilapangan kalau tujuannya bukan sebatas memelihara kantong suara untuk masa depan pemimpinnya,makanya kalau tujuannya meningkatkan ekonomi rakyat dan juga untuk meningkatkan gizi anak cukup gunakan kantin sekolah buat menu tetap ke kantin pesanana nominal pembelian adalah nominal normal harga beli disetiap daerah kantin akan belanja di pasar mekanisme pengawasan dari pihak makan bergizi gratis dan sekolah secara langsung bukan sistem tender melainkan sistem belanja sekolah secara nyata di lingkungan sekolah dampaknya jelas ke seluruh jaringan masyarakat dan untuk pengawasan tidak tercentral melainkan terjadi dari berbagai pihak dan keikut sertaan sekolah dalam peran menjaga kualitas akan sangat penting mengingat merekalah yang mengetahui anak secara langsung jadi misalkan ada anak yang alergi makanan tertentu akan disesuaikan menunya dengan kebutuhan anak hal ini akan semakin padu karena data hadir tidak hanya dari pusat tapi bahkan dari tenaga pendidik dilapangan kalau tujuannya bukan sebatas memelihara kantong suara untuk masa depan pemimpinnya,tujuannya meningkatkan ekonomi rakyat meningkatkan gizi anak kantin sekolah menu kantin pesanana nominal pembelian nominal normal harga beli disetiap daerah kantin belanja pasar mekanisme pengawasan makan bergizi gratis sekolah sistem tender sistem belanja sekolah lingkungan sekolah dampaknya jaringan masyarakat pengawasan tercentral keikut sertaan sekolah peran menjaga kualitas anak anak alergi makanan disesuaikan menunya kebutuhan anak padu data hadir pusat tenaga pendidik dilapangan tujuannya sebatas memelihara kantong suara pemimpinnya,Netral
@asepagungofficial,2026-04-12T11:53:45Z,0,"Bagi petani pun tidak berdampak karna mereka belinya pun dari suplayer besar bukan dari petani kecil, terus dapur sppg juga beli bahan baku dg harga murah tapi sama mereka di markup harga di nota nya",True,lmcwEO9Lqe8,bagi petani pun tidak berdampak karna mereka belinya pun dari suplayer besar bukan dari petani kecil terus dapur sppg juga beli bahan baku dg harga murah tapi sama mereka di markup harga di nota nya,bagi petani pun tidak berdampak karna mereka belinya pun dari suplayer besar bukan dari petani kecil terus dapur sppg juga beli bahan baku dg harga murah tapi sama mereka di markup harga di nota nya,petani berdampak karna belinya suplayer petani dapur sppg beli bahan baku dg harga murah markup harga nota,Tidak Berlabel
@asepagungofficial,2026-04-12T11:48:30Z,0,Bukan penggerak ekonomi rakyat tapi penggerak ekonomi pemilik dapur,True,lmcwEO9Lqe8,bukan penggerak ekonomi rakyat tapi penggerak ekonomi pemilik dapur,bukan penggerak ekonomi rakyat tapi penggerak ekonomi pemilik dapur,penggerak ekonomi rakyat penggerak ekonomi pemilik dapur,Tidak Berlabel
@ariwibowo7922,2026-04-12T05:12:02Z,0,Badan ngrampok duit rakyat kere,True,lmcwEO9Lqe8,badan ngrampok duit rakyat kere,badan ngrampok duit rakyat kere,badan ngrampok duit rakyat kere,Tidak Berlabel
@ripandarimars,2026-04-11T21:42:22Z,1,"menurut gw MBG itu bukan investasi untuk masa depan anak bangsa, tapi MBG itu investasi untuk rezim atau kelompok tertentu untuk mendapatkan lebih banyak suara di periode selanjutnya",True,lmcwEO9Lqe8,menurut gw mbg itu bukan investasi untuk masa depan anak bangsa tapi mbg itu investasi untuk rezim atau kelompok tertentu untuk mendapatkan lebih banyak suara di periode selanjutnya,menurut saya makan bergizi gratis itu bukan investasi untuk masa depan anak bangsa tapi makan bergizi gratis itu investasi untuk rezim atau kelompok tertentu untuk mendapatkan lebih banyak suara di periode selanjutnya,makan bergizi gratis investasi anak bangsa makan bergizi gratis investasi rezim kelompok suara periode,Netral
@nurrifdah7193,2026-04-11T12:20:21Z,0,"Setelah tau program ini jadi ajang korup masal, sejak saat itu juga ayah sama abang ga mau lagi suplai semangka dan melon ke mereka.
Alhasil mereka nyari buah buahan sampe keluar daerah..😂",True,lmcwEO9Lqe8,setelah tau program ini jadi ajang korup masal sejak saat itu juga ayah sama abang ga mau lagi suplai semangka dan melon ke mereka alhasil mereka nyari buah buahan sampe keluar daerah,setelah tau program ini jadi ajang korup masal sejak saat itu juga ayah sama abang tidak mau lagi suplai semangka dan melon ke mereka alhasil mereka nyari buah buahan sampe keluar daerah,tau program ajang korup masal ayah abang suplai semangka melon alhasil nyari buah buahan sampe daerah,Netral
@NurBasyar,2026-04-11T10:16:32Z,0,"pemilik dapur sppg setahu saya hanya milik orang yg punya koneksi ke partai pemenang, kemudian belanja kebutuhan sppg ratarata langsung ke distributor, sama ke penjual partai besar,, pedagang kecil gak dapat manfaat dari progam ini",True,lmcwEO9Lqe8,pemilik dapur sppg setahu saya hanya milik orang yg punya koneksi ke partai pemenang kemudian belanja kebutuhan sppg ratarata langsung ke distributor sama ke penjual partai besar pedagang kecil gak dapat manfaat dari progam ini,pemilik dapur sppg setahu saya hanya milik orang yang punya koneksi ke partai pemenang kemudian belanja kebutuhan sppg ratarata langsung ke distributor sama ke penjual partai besar pedagang kecil tidak dapat manfaat dari progam ini,pemilik dapur sppg setahu milik koneksi partai pemenang belanja kebutuhan sppg ratarata distributor penjual partai pedagang manfaat progam,Tidak Berlabel
@Timbul-g2w,2026-04-11T07:17:43Z,0,Penggerak ekonomi masyarakat kau kasih dana langsung ke masyarakat,True,lmcwEO9Lqe8,penggerak ekonomi masyarakat kau kasih dana langsung ke masyarakat,penggerak ekonomi masyarakat kau kasih dana langsung ke masyarakat,penggerak ekonomi masyarakat kau kasih dana masyarakat,Tidak Berlabel
@Timbul-g2w,2026-04-11T07:16:51Z,0,"Proyek kurang ajar, sudah seharusnya prabowo di turunkan",True,lmcwEO9Lqe8,proyek kurang ajar sudah seharusnya prabowo di turunkan,proyek kurang ajar sudah seharusnya prabowo di turunkan,proyek ajar prabowo turunkan,Tidak Berlabel
@isee5599,2026-04-11T00:07:52Z,0,"Anak2 dikasih makan 1x sehari dengan nilai 10k-8k, tapi orang tua menghadapi inflasi bahan pokok. bahkan ayam naik 10k/kg, lebih besar tanggungan inflasi dari pada nilai makan bergizi yang cuma 1x, entahlah mereka mikir atau tidak",True,lmcwEO9Lqe8,anak dikasih makan x sehari dengan nilai k k tapi orang tua menghadapi inflasi bahan pokok bahkan ayam naik k kg lebih besar tanggungan inflasi dari pada nilai makan bergizi yang cuma x entahlah mereka mikir atau tidak,anak dikasih makan x sehari dengan nilai k k tapi orang tua menghadapi inflasi bahan pokok bahkan ayam naik k kg lebih besar tanggungan inflasi dari pada nilai makan bergizi yang cuma x entahlah mereka mikir atau tidak,anak dikasih makan sehari nilai tua menghadapi inflasi bahan pokok ayam kg tanggungan inflasi nilai makan bergizi mikir,Netral
@alfazzachanel4064,2026-04-10T23:35:32Z,0,"Terimakasih sudah memberikan edukasi, smoga banyak masyarakat sadar",True,lmcwEO9Lqe8,terimakasih sudah memberikan edukasi smoga banyak masyarakat sadar,terimakasih sudah memberikan edukasi smoga banyak masyarakat sadar,terimakasih edukasi smoga masyarakat sadar,Tidak Berlabel
@YusufAbzul,2026-04-10T16:05:40Z,1,"Dari duit segitu banyaknya dripada dikorupsi para elit ,ya mending di salurkan ke rakyat menengah kebawah lahh.. ada pekerjaan para bocah bisa makan bergizi. Yaa cumaitu pelaksanaannya diperbaiki lg.",True,lmcwEO9Lqe8,dari duit segitu banyaknya dripada dikorupsi para elit ya mending di salurkan ke rakyat menengah kebawah lahh ada pekerjaan para bocah bisa makan bergizi yaa cumaitu pelaksanaannya diperbaiki lg,dari duit segitu banyaknya dripada dikorupsi para elit ya mending di salurkan ke rakyat menengah kebawah lahh ada pekerjaan para bocah bisa makan bergizi yaa cumaitu pelaksanaannya diperbaiki lg,duit segitu banyaknya dripada dikorupsi elit mending salurkan rakyat menengah kebawah lahh pekerjaan bocah makan bergizi cumaitu pelaksanaannya diperbaiki lg,Positif
@helmifajar138,2026-04-09T12:24:07Z,0,Bukan untuk rakyat tapi bisnis para pejabatnya😂,True,lmcwEO9Lqe8,bukan untuk rakyat tapi bisnis para pejabatnya,bukan untuk rakyat tapi bisnis para pejabatnya,rakyat bisnis pejabatnya,Tidak Berlabel
@saifuzzuhri6272,2026-04-09T11:09:33Z,0,Komen gue sama kek kalian. Thanks udah speak up,True,lmcwEO9Lqe8,komen gue sama kek kalian thanks udah speak up,komen saya sama kek kalian thanks sudah speak up,komen kek thanks speak up,Tidak Berlabel
@mbahronggo3960,2026-04-09T09:46:10Z,0,ini lo orang butak yg ngeyel mslh  mbg ruweet ni malh beri montor pegawe rakyat susah,True,lmcwEO9Lqe8,ini lo orang butak yg ngeyel mslh mbg ruweet ni malh beri montor pegawe rakyat susah,ini kamu orang butak yang ngeyel mslh makan bergizi gratis ruweet ni malh beri montor pegawe rakyat susah,butak ngeyel mslh makan bergizi gratis ruweet ni malh montor pegawe rakyat susah,Netral
@suliswanto3714,2026-04-09T07:09:22Z,0,"Walaupun anak saya dua duanya dapat jatah MBG tapi saya tidak setuju dengan adanya MBG,sebab sangat tidak berpengaruh dalam kehidupan ekonomi keluarga saya,nyatanya uang saku anak anak saya tetap walaupun dapat jatah makan siang dr MBG.lebih baik MBG di hentikan dan dialihkan ke pendidikan gratis.",True,lmcwEO9Lqe8,walaupun anak saya dua duanya dapat jatah mbg tapi saya tidak setuju dengan adanya mbg sebab sangat tidak berpengaruh dalam kehidupan ekonomi keluarga saya nyatanya uang saku anak anak saya tetap walaupun dapat jatah makan siang dr mbg lebih baik mbg di hentikan dan dialihkan ke pendidikan gratis,walaupun anak saya dua duanya dapat jatah makan bergizi gratis tapi saya tidak setuju dengan adanya makan bergizi gratis sebab sangat tidak berpengaruh dalam kehidupan ekonomi keluarga saya nyatanya uang saku anak anak saya tetap walaupun dapat jatah makan siang dari makan bergizi gratis lebih baik makan bergizi gratis di hentikan dan dialihkan ke pendidikan gratis,anak duanya jatah makan bergizi gratis setuju makan bergizi gratis berpengaruh kehidupan ekonomi keluarga uang saku anak anak jatah makan siang makan bergizi gratis makan bergizi gratis hentikan dialihkan pendidikan gratis,Positif
@JasmiFc-u1p,2026-04-09T05:28:37Z,0,"BKN gratis Rkyt yg byr MBG tmpt Sarang Koropsi makin lama makin GK karuwan Nasi basi , LELE mentah dikshkan Otak jeblok MBG hrs di hentikan lgi byk yg keracunan byk yg SDH ditolak",True,lmcwEO9Lqe8,bkn gratis rkyt yg byr mbg tmpt sarang koropsi makin lama makin gk karuwan nasi basi lele mentah dikshkan otak jeblok mbg hrs di hentikan lgi byk yg keracunan byk yg sdh ditolak,bukan gratis rkyt yang byr makan bergizi gratis tmpt sarang koropsi makin lama makin tidak karuwan nasi basi lele mentah dikshkan otak jeblok makan bergizi gratis harus di hentikan lgi banyak yang keracunan banyak yang sudah ditolak,gratis rkyt byr makan bergizi gratis tmpt sarang koropsi karuwan nasi basi lele mentah dikshkan otak jeblok makan bergizi gratis hentikan lgi keracunan ditolak,Negatif
@vhruliciouz,2026-04-09T02:15:01Z,0,Btw presiden itu bisa dipecat lho. Tolong komen siapa yg tau apa syarat dan gimana caranya mecat presiden,True,lmcwEO9Lqe8,btw presiden itu bisa dipecat lho tolong komen siapa yg tau apa syarat dan gimana caranya mecat presiden,btw presiden itu bisa dipecat lho tolong komen siapa yang tau apa syarat dan gimana caranya mecat presiden,btw presiden dipecat lho tolong komen tau syarat gimana mecat presiden,Pertanyaan
@mangaguzsh8664,2026-04-09T02:04:27Z,0,PROGRAM TOLLLLLLeransi tinggi terhadap anak,True,lmcwEO9Lqe8,program tolllllleransi tinggi terhadap anak,program tolllllleransi tinggi terhadap anak,program tolllllleransi tinggi anak,Netral
@isnanang7563,2026-04-09T01:18:07Z,0,Barang naik mbg tambah dikit,True,lmcwEO9Lqe8,barang naik mbg tambah dikit,barang naik makan bergizi gratis tambah dikit,barang makan bergizi gratis dikit,Netral
@deepestsagara,2026-04-09T00:00:58Z,0,"Berdasarkan kejadian yang sudah sudah, buat saya MBG jelas program megakorupsi yang dilegalkan. Dibilang manfaat ya manfaat buat dapur, ordal lagi ordal lagi. Apalagi polisi tni kok punya dapur, makin mantap kan. Dilihat dari hal paling remeh pun, orang ga bisa nyetir juga jadi supir mbg, kurang kocak apalagi?",True,lmcwEO9Lqe8,berdasarkan kejadian yang sudah sudah buat saya mbg jelas program megakorupsi yang dilegalkan dibilang manfaat ya manfaat buat dapur ordal lagi ordal lagi apalagi polisi tni kok punya dapur makin mantap kan dilihat dari hal paling remeh pun orang ga bisa nyetir juga jadi supir mbg kurang kocak apalagi,berdasarkan kejadian yang sudah sudah buat saya makan bergizi gratis jelas program megakorupsi yang dilegalkan dibilang manfaat ya manfaat buat dapur ordal lagi ordal lagi apalagi polisi tni kok punya dapur makin bagus kan dilihat dari hal paling remeh pun orang tidak bisa nyetir juga jadi supir makan bergizi gratis kurang kocak apalagi,berdasarkan kejadian makan bergizi gratis program megakorupsi dilegalkan dibilang manfaat manfaat dapur ordal ordal polisi tni dapur bagus remeh nyetir supir makan bergizi gratis kocak,Positif
@alinur9365,2026-04-08T14:25:16Z,0,Saya dukung MBG 100%..🔥🔥 semoga sy di ajak kerja di Sppg 😅😅,True,lmcwEO9Lqe8,saya dukung mbg semoga sy di ajak kerja di sppg,saya mendukung makan bergizi gratis semoga saya di ajak kerja di sppg,mendukung makan bergizi gratis semoga ajak sppg,Positif
@BossCeer10,2026-04-08T12:03:49Z,0,Ukaem remuk bikin pusing pedagang kecil,True,lmcwEO9Lqe8,ukaem remuk bikin pusing pedagang kecil,ukaem remuk bikin pusing pedagang kecil,ukaem remuk bikin pusing pedagang,Tidak Berlabel
@robiobe8672,2026-04-08T08:18:54Z,0,Beli motor listrik lagi😂😂😂buat apa sedangkan 1 porsi 10 ribu mahalan makanan kucing bobi prabowo,True,lmcwEO9Lqe8,beli motor listrik lagi buat apa sedangkan porsi ribu mahalan makanan kucing bobi prabowo,beli motor listrik lagi buat apa sedangkan porsi ribu mahalan makanan kucing bobi prabowo,beli motor listrik porsi ribu mahalan makanan kucing bobi prabowo,Netral
@UsmanAlex-rm1ww,2026-04-08T03:21:50Z,0,Tidak bermanfaat hanya buang buang uang negara yang memaksa wajib pajak 😢😢😢,True,lmcwEO9Lqe8,tidak bermanfaat hanya buang buang uang negara yang memaksa wajib pajak,tidak bermanfaat hanya buang buang uang negara yang memaksa wajib pajak,bermanfaat buang buang uang negara memaksa wajib pajak,Positif
@Muh.Raihan-cd8yk,2026-04-08T01:49:02Z,0,Ladang korup51😢😡. Dari atas sm paling bawah. Yg tdk berhak mendapatkan pun dpt mbg yg penting ada 0rd4l,True,lmcwEO9Lqe8,ladang korup dari atas sm paling bawah yg tdk berhak mendapatkan pun dpt mbg yg penting ada rd l,ladang korup dari atas sama paling bawah yang tidak berhak mendapatkan pun dapat makan bergizi gratis yang penting ada rd l,ladang korup berhak makan bergizi gratis rd,Netral
@r.m.gchanel9355,2026-04-08T01:23:02Z,0,Ini lebih ke bisnis dan ngabisin uang negara 😂,True,lmcwEO9Lqe8,ini lebih ke bisnis dan ngabisin uang negara,ini lebih ke bisnis dan ngabisin uang negara,bisnis ngabisin uang negara,Tidak Berlabel
@TaTang-lc7pm,2026-04-07T14:11:22Z,0,"Tidak berman pa at , anak sekolah pintar di didik oleh guru  bukan dari makanan beracun atau mbg , bohong itu rakyat gapercaya itu akal akalan prabowo ,tai lu",True,lmcwEO9Lqe8,tidak berman pa at anak sekolah pintar di didik oleh guru bukan dari makanan beracun atau mbg bohong itu rakyat gapercaya itu akal akalan prabowo tai lu,tidak berman pa at anak sekolah pintar di didik oleh guru bukan dari makanan beracun atau makan bergizi gratis tidak jujur itu rakyat gapercaya itu akal akalan prabowo tai kamu,berman pa at anak sekolah pintar didik guru makanan beracun makan bergizi gratis jujur rakyat gapercaya akal akalan prabowo tai,Netral
@jelipoter,2026-04-07T07:57:56Z,0,"Dipaksa ada pas puasa aja janggal banget, jelas banget biar dana nya diambil terus +  pasti pemilu besok bakal diungkit ungkit (padahal gak ada yang  minta waktu itu🤡)",True,lmcwEO9Lqe8,dipaksa ada pas puasa aja janggal banget jelas banget biar dana nya diambil terus pasti pemilu besok bakal diungkit ungkit padahal gak ada yang minta waktu itu,dipaksa ada pas puasa saja janggal banget jelas banget biar dana nya diambil terus pasti pemilu besok bakal diungkit ungkit padahal tidak ada yang minta waktu itu,dipaksa pas puasa janggal banget banget biar dana diambil pemilu besok diungkit ungkit waktu,Tidak Berlabel
@Arniltola14,2026-04-06T23:11:27Z,0,"MBG Habisin duit Triliunan rupiah dari pajak rakyat habis di kloset, lalu perputaran ekonominya dimana...???",True,lmcwEO9Lqe8,mbg habisin duit triliunan rupiah dari pajak rakyat habis di kloset lalu perputaran ekonominya dimana,makan bergizi gratis habisin duit triliunan rupiah dari pajak rakyat habis di kloset lalu perputaran ekonominya dimana,makan bergizi gratis habisin duit triliunan rupiah pajak rakyat habis kloset perputaran ekonominya dimana,Pertanyaan
@wisangdrillian,2026-04-06T06:28:40Z,0,"setuju sih lebih butuh pendidikan daripada MBG ini, gua alhamdulillah ga kekurangan gizi, tapi ga bisa kuliah karena faktor biaya, jadi harus kerja dan biayai keluarga, coba lah pemerintah kasih pendidikan gratis minimal s1 buat yang kurang mampu, maju lah negara ini",True,lmcwEO9Lqe8,setuju sih lebih butuh pendidikan daripada mbg ini gua alhamdulillah ga kekurangan gizi tapi ga bisa kuliah karena faktor biaya jadi harus kerja dan biayai keluarga coba lah pemerintah kasih pendidikan gratis minimal s buat yang kurang mampu maju lah negara ini,setuju sih lebih butuh pendidikan daripada makan bergizi gratis ini gua alhamdulillah tidak kekurangan gizi tapi tidak bisa kuliah karena faktor biaya jadi harus kerja dan biayai keluarga coba lah pemerintah kasih pendidikan gratis minimal s buat yang kurang mampu maju lah negara ini,setuju butuh pendidikan makan bergizi gratis gua alhamdulillah kekurangan gizi kuliah faktor biaya biayai keluarga coba pemerintah kasih pendidikan gratis minimal maju negara,Positif
@saintcibin4442,2026-04-06T05:57:36Z,0,Prabowo gampang dikadalin orang2 bodoh yg licik ... apalagi sama raja iblis yg lagi sakit kurap ... 😮,True,lmcwEO9Lqe8,prabowo gampang dikadalin orang bodoh yg licik apalagi sama raja iblis yg lagi sakit kurap,prabowo gampang dikadalin orang bodoh yang licik apalagi sama raja iblis yang lagi sakit kurap,prabowo gampang dikadalin bodoh licik raja iblis sakit kurap,Tidak Berlabel
@Ss80824,2026-04-06T00:07:33Z,0,"Ini tuh emang niat cari cuan,,,proyek jualan nasi,camilan warung n tas belanja. Yg untung dah jls siapa. Jk memang niat ngurangin stunting n gk ada embel2 berbisnis,,, pasti duit bs langsung di kasi ke ortu2/ibu hamil yg kurang mampu sj. Yg terjadi orkay dapet, murid2 SMP/SMA pun dapat, kata gizi n gratisnya pun prankkk.",True,lmcwEO9Lqe8,ini tuh emang niat cari cuan proyek jualan nasi camilan warung n tas belanja yg untung dah jls siapa jk memang niat ngurangin stunting n gk ada embel berbisnis pasti duit bs langsung di kasi ke ortu ibu hamil yg kurang mampu sj yg terjadi orkay dapet murid smp sma pun dapat kata gizi n gratisnya pun prankkk,ini itu memang niat cari cuan proyek jualan nasi camilan warung n tas belanja yang untung dah jls siapa jk memang niat ngurangin stunting n tidak ada embel berbisnis pasti duit bisa langsung di kasi ke ortu ibu hamil yang kurang mampu sj yang terjadi orkay dapet murid smp sma pun dapat kata gizi n gratisnya pun prankkk,niat cari cuan proyek jualan nasi camilan warung tas belanja untung dah jls jk niat ngurangin stunting embel berbisnis duit kasi ortu hamil sj orkay dapet murid smp sma gizi gratisnya prankkk,Netral
@zipzikin7084,2026-04-05T22:22:32Z,0,"Belajar dari isriwil,china ( positifnya),soal dana pendidikan nya utk😂😂😂",True,lmcwEO9Lqe8,belajar dari isriwil china positifnya soal dana pendidikan nya utk,belajar dari isriwil china positifnya soal dana pendidikan nya untuk,belajar isriwil china positifnya dana pendidikan,Tidak Berlabel
